#Data acquisition DATA FILE 
#
#Program Version 7.0.2-H&H_14July_16
#Start time & date: 10:47:29 2018_09_19
#Write Time:11:50:29   Date: 2018_09_19 
#
#Device type:
#	1: Keithley 199
#	2: Keithley 182 or 2182
#	3: Keithley 2000
#	4: AVS46
#	5: KUN Resistance bridge
#	6: Keithley 2611(Voltage source)
#	7: Keithley 2611(Current source)
#	8: Agilent L441A (nano Voltmeter)
#	9: Eg&g Lockin 5210 X
#	10: Eg&g Lockin 5210 X & Y
#	11: Eg&g Lockin 5210 Amplitude & Phase
#	12: Eg&g Lockin 7260 X&Y
#	13: Eg&g Lockin 7260 Amplitude, Phase & Frequency
#	14: Stanford Lockin 530 X & Y
#	15: Stanford Lockin 530 Amplitude & Phase
#	16: Stanford Lockin 830 X & Y
#	17: Stanford Lockin 830 Amplitude & Phase
#	18: AH2500H Capacitance bridge
#	19: AH2700H Capacitance bridge
#	20: AH2700H Capacitance bridge, without reset
#	21: LS340 Temperature controller sensor A&B
#	22: LS340 Temperature controller sensor A val&Calc in oK
#	23: LS340 Temperature controller sensor A&C
#	25: Magnet current read from file: 
#	26: Current(kA) via K182_GPIB-Enet/100 -> Field(Tesla)
#		  Current= K182_1*-2.000000 +K182_2 * -2.000000 
#	27: K199 temperature sensor->T(oK)
#	28: DVR5
#	29: CVC3000
#	30: Stanford Lockin 830 Amplitude, Phase & Frequency
#	31: Stanford Lockin 830 X, Y & Frequency
#	32: Oxford IPS 120-10 Superconductor power supply
#	33:IXE-alpha stepper motor driver with HEDL-counters
#	35: Stanford Lockin 830 X 
#	36: Stanford Lockin 830 Y 

#dev=2 Acquired: address=16 type=31

#dev=3 Acquired: address=3 type=31

#dev=4 Acquired: address=2 type=3
#-----------------------------------------------------------
#
Time(sec)	Dev2_freq	Dev2SR830_X	Dev2_Y	Dev3_freq	Dev3SR830_X	Dev3_Y	Dev4_K2000(V)

 4502.413	 1.63231000e+01	 0.00000000e+00	 -1.43052000e-06	 1.79596000e+01	 6.10356000e-05	 0.00000000e+00	 3.29195900e-01
 4503.073	 1.63236000e+01	 0.00000000e+00	 -1.43052000e-06	 1.79596000e+01	 6.10356000e-05	 0.00000000e+00	 3.29189400e-01
 4503.406	 1.63236000e+01	 -4.76841000e-07	 -1.43052000e-06	 1.79596000e+01	 6.10356000e-05	 0.00000000e+00	 3.29160700e-01
 4503.785	 1.63236000e+01	 -9.53682000e-07	 -1.43052000e-06	 1.79596000e+01	 6.10356000e-05	 0.00000000e+00	 3.29206800e-01
 4504.395	 1.63236000e+01	 -1.43052000e-06	 -1.43052000e-06	 1.79596000e+01	 6.10356000e-05	 0.00000000e+00	 3.29238800e-01
 4505.004	 1.63236000e+01	 -1.90736000e-06	 -1.43052000e-06	 1.79596000e+01	 6.10356000e-05	 0.00000000e+00	 3.29227900e-01
 4505.619	 1.63240000e+01	 -1.43052000e-06	 -4.76841000e-07	 1.79596000e+01	 6.10356000e-05	 0.00000000e+00	 2.75126300e-01
 4506.226	 1.07822000e+01	 9.53680000e-06	 -3.81473000e-06	 6.48140000e+00	 1.22071000e-03	 -1.15968000e-03	 1.27557700e-01
 4506.842	 6.51740000e+00	 1.09673000e-05	 -4.29156000e-06	 6.25750000e+00	 4.27248000e-04	 -1.91041000e-02	 1.23477100e-01
 4507.454	 1.88456000e+01	 1.04905000e-05	 -3.33787000e-06	 1.85843000e+01	 -4.88284000e-03	 -2.36207000e-02	 1.23271000e-01
 4508.061	 1.88155000e+01	 1.43052000e-05	 0.00000000e+00	 1.79744000e+01	 4.51663000e-03	 -1.96534000e-02	 1.23239600e-01
 4508.678	 1.78585000e+01	 2.86103000e-05	 0.00000000e+00	 1.82681000e+01	 2.72828000e-02	 -1.69069000e-02	 1.23192400e-01
 4509.289	 1.83344000e+01	 4.57766000e-05	 -4.76841000e-07	 1.82877000e+01	 5.01101000e-02	 -1.41602000e-02	 1.23174800e-01
 4509.902	 1.81766000e+01	 6.05586000e-05	 -2.38420000e-06	 1.81332000e+01	 6.79936000e-02	 -1.19019000e-02	 1.23214200e-01
 4510.513	 1.81818000e+01	 7.15260000e-05	 -3.33787000e-06	 1.81546000e+01	 8.06279000e-02	 -1.03760000e-02	 1.23253300e-01
 4511.125	 1.81613000e+01	 8.05859000e-05	 -4.29156000e-06	 1.81937000e+01	 8.91118000e-02	 -9.33844000e-03	 1.23290000e-01
 4511.736	 1.81160000e+01	 8.53543000e-05	 -4.76840000e-06	 1.82095000e+01	 9.46050000e-02	 -8.66705000e-03	 1.23262800e-01
 4512.348	 1.82366000e+01	 8.82153000e-05	 -5.24524000e-06	 1.81708000e+01	 9.80229000e-02	 -8.23981000e-03	 1.23244800e-01
 4512.954	 1.82047000e+01	 9.05995000e-05	 -5.72208000e-06	 1.81875000e+01	 1.00159000e-01	 -7.93463000e-03	 1.23198100e-01
 4513.571	 1.81694000e+01	 9.15532000e-05	 -6.19891000e-06	 1.81923000e+01	 1.01380000e-01	 -7.81256000e-03	 1.23148000e-01
 4514.186	 1.81608000e+01	 9.25069000e-05	 -6.67575000e-06	 1.82023000e+01	 1.02173000e-01	 -7.75149000e-03	 1.23167700e-01
 4514.792	 1.82667000e+01	 9.29837000e-05	 -6.67575000e-06	 1.82090000e+01	 1.02662000e-01	 -7.75149000e-03	 1.23196900e-01
 4515.403	 1.82285000e+01	 9.34605000e-05	 -6.67575000e-06	 1.81551000e+01	 1.02906000e-01	 -7.69046000e-03	 1.23243900e-01
 4516.014	 1.81394000e+01	 9.29837000e-05	 -6.19891000e-06	 1.81284000e+01	 1.03089000e-01	 -7.69046000e-03	 1.23278500e-01
